modelo,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.8465869106263195,0.5391244575547736,0.8493133825625081,0.6594284911825488,0.9236641561223005
LinearSVC,0.8475721323011964,0.5414698763017831,0.8412618214794663,0.6587436822947752,0.9232246443728037
KNN,0.8054890921885995,0.4683371438920669,0.8211393962948568,0.5962552722285235,0.883226658882851
DecisionTree,0.8313863476425052,0.5117669295946387,0.810639331519627,0.6270846003115904,0.823206621699631
